tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on wlan1, link-type IEEE802_11_RADIO (802.11 plus radiotap header), snapshot length 262144 bytes
23:22:01.253510 394917927us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.274480 394938898us tsft 1.0 Mb/s 2412 MHz 11b -69dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.339009 395003420us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.358870 395023222us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.376919 395041302us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.441428 395105830us tsft 1.0 Mb/s 2412 MHz 11b -52dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.458312 395122727us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.543792 395208204us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.560711 395225128us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.581711 395246103us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.646222 395310632us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.663111 395327527us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.748599 395413005us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:01.765527 395429928us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
